iter	Passed	Remaining
418	2721	3773
419	2728	3768
420	2737	3764
421	2744	3758
422	2760	3765
423	2768	3760
424	2778	3759
425	2789	3759
426	2800	3757
427	2815	3763
428	2826	3761
429	2835	3759
430	2842	3752
431	2852	3749
432	2858	3743
433	2874	3748
434	2890	3754
435	2897	3747
436	2910	3749
437	2920	3747
438	2924	3737
439	2929	3728
440	2934	3719
441	2938	3709
442	2942	3700
443	2947	3691
444	2952	3682
445	2956	3673
446	2964	3667
447	2973	3663
448	2978	3654
449	2982	3645
450	2988	3637
451	2994	3630
452	2999	3622
453	3005	3614
454	3009	3604
455	3013	3595
456	3018	3586
457	3022	3577
458	3028	3569
459	3033	3560
460	3038	3552
461	3045	3546
462	3049	3536
463	3053	3527
464	3060	3520
465	3064	3512
466	3069	3503
467	3073	3493
468	3078	3485
469	3082	3475
470	3086	3466
471	3090	3457
472	3095	3448
473	3099	3438
474	3102	3429
475	3106	3420
476	3113	3413
477	3117	3404
478	3121	3395
479	3125	3385
480	3128	3376
481	3133	3367
482	3137	3358
483	3141	3349
484	3145	3340
485	3149	3330
486	3157	3325
487	3161	3316
488	3168	3310
489	3172	3301
490	3175	3292
491	3180	3283
492	3183	3274
493	3188	3265
494	3192	3256
495	3195	3247
496	3199	3238
497	3206	3232
498	3210	3222
499	3214	3214
500	3218	3205
501	3224	3198
502	3228	3189
503	3232	3180
504	3236	3172
505	3240	3163
506	3244	3155
507	3248	3146
508	3252	3137
509	3256	3129
510	3260	3120
511	3264	3111
512	3268	3103
513	3273	3095
514	3278	3087
515	3282	3079
516	3286	3070
517	3291	3062
518	3295	3054
519	3299	3045
520	3303	3036
521	3307	3028
522	3312	3021
523	3316	3012
524	3320	3004
525	3324	2995
526	3329	2987
527	3332	2979
528	3337	2971
529	3340	2962
530	3344	2954
531	3349	2946
532	3353	2937
533	3356	2929
534	3360	2921
535	3364	2912
536	3368	2904
537	3372	2895
538	3376	2887
539	3380	2879
540	3385	2871
541	3390	2864
542	3394	2856
543	3398	2848
544	3402	2840
545	3406	2832
546	3411	2825
547	3415	2817
548	3419	2809
549	3423	2801
550	3428	2793
551	3432	2785
552	3436	2777
553	3440	2769
554	3444	2761
555	3449	2754
556	3454	2747
557	3458	2739
558	3462	2731
559	3466	2723
560	3470	2715
561	3474	2708
562	3478	2700
563	3483	2692
564	3487	2685
565	3491	2677
566	3495	2669
567	3499	2661
568	3503	2654
569	3509	2647
570	3513	2639
571	3518	2632
572	3523	2625
573	3527	2617
574	3531	2610
575	3536	2603
576	3540	2595
577	3544	2587
578	3548	2580
579	3551	2572
580	3555	2564
581	3559	2556
582	3563	2549
583	3568	2541
